country_label,institution_name,official_website,tool_name,tool_category,use_case,evidence_strength,source_type,source_title,source_date,source_link,exact_snippet_or_quote,why_it_supports_the_claim,notes
China,"中国南方电网有限责任公司 (China Southern Power Grid, CSG)",https://www.csg.cn/,PSD,other,Procurement of “PSD simulation system supporting software” by Guizhou Power Grid (CSG subsidiary) via CSG’s official supply-chain bidding platform.,MEDIUM,tender_procurement,贵州电网有限责任公司2022年第一批招标领导小组办公室管控目录物资类（变电站计量电压切换及监测屏等）批次招标招标公告,28/7/2022,https://www.bidding.csg.cn/zbgg/1200314670.jhtml,PSD仿真系统配套软件,The CSG official procurement platform lists PSD simulation software as a procured item for a CSG group grid company.,Local/official-language + English searches performed; open-source tools were also checked but no retrievable CSG evidence found for them; additional sources may exist behind logins.
China,"中国南方电网有限责任公司 (China Southern Power Grid, CSG)",https://www.csg.cn/,ADPSS,other,Procurement of “ADPSS simulation system supporting software” by Guizhou Power Grid (CSG subsidiary) via CSG’s official supply-chain bidding platform.,MEDIUM,tender_procurement,贵州电网有限责任公司2022年第一批招标领导小组办公室管控目录物资类（变电站计量电压切换及监测屏等）批次招标招标公告,28/7/2022,https://www.bidding.csg.cn/zbgg/1200314670.jhtml,ADPSS仿真系统配套软件,The CSG official procurement platform lists ADPSS simulation software as a procured item for a CSG group grid company.,Local/official-language + English searches performed; open-source tools were also checked but no retrievable CSG evidence found for them; additional sources may exist behind logins.
Egypt,جهاز تنظيم مرفق الكهرباء وحماية المستهلك (EgyptERA),https://www.egyptera.org/en/,PSS/E,other,Requires large solar plant developers to submit a dynamic plant model in PSS/E (grid-connection compliance and review).,HIGH,official_methodology,Solar Energy Plants Grid Connection Code (March 2017),1/3/2017,https://egyptera.org/en/Download/Code/Egypt_gridcode_for_solar_plant_connectionOnMVandHV.pdf,“submit a Solar Plant Dynamic Model in PSS/E”,EgyptERA’s official grid-connection code explicitly mandates use of PSS/E-format dynamic models for compliance submissions.,Additional relevant EgyptERA codes may exist; local/official-language + English searches performed; open-source tools checked but no EgyptERA-hosted explicit references found.
Egypt,"الشركة المصرية لنقل الكهرباء (Egyptian Electricity Transmission Company, EETC)",http://www.eetc.net.eg,PSS/E,other,"As Grid Operator, receives and reviews grid-connection submissions that include a solar plant dynamic model in PSS/E.",MEDIUM,official_methodology,Solar Energy Plants Grid Connection Code (March 2017),1/3/2017,https://egyptera.org/en/Download/Code/Egypt_gridcode_for_solar_plant_connectionOnMVandHV.pdf,“Grid Operator… functions will be carried out by the Egyptian Electricity Transmission Company (EETC)”,"The code identifies EETC as Grid Operator and specifies that compliance submissions include a PSS/E dynamic model, establishing PSS/E as an explicitly referenced tool in EETC’s interconnection process.","EETC official site was not retrievable from this environment (timeouts), so evidence is based on EgyptERA’s official code; local/official-language + English searches performed; open-source tools checked with no qualifying EETC-hosted evidence found."
Germany,50Hertz Transmission GmbH — 50Hertz Transmission,https://www.50hertz.com/,DIgSILENT PowerFactory,other,Requires offshore wind farm operators to build and submit RMS simulation models in PowerFactory for compliance/studies.,HIGH,official_methodology,Offshore Grid Connection Requirements — Annex: Simulation model and studies,,https://www.50hertz.com/xspProxy/api/staticfiles/50hertz-client/dokumente/vertragspartner/netzanschluss/offshoregridconnectionrequirements_annexsimulationmodelsandstudies_clean.pdf,The OWF operator shall use DIgSILENT PowerFactory to develop a detailed RMS model.,This official annex explicitly mandates use of DIgSILENT PowerFactory for RMS models submitted to 50Hertz.,additional sources may exist (other annexes / requirements documents)
Germany,Amprion GmbH — Amprion,https://www.amprion.net/,DIgSILENT PowerFactory,other,Requires offshore wind farm operators to deliver RMS simulation models in a DIgSILENT PowerFactory version defined by the TSO.,HIGH,official_methodology,Offshore Grid Connection Requirements — Annex: Simulation Models and Studies,,https://www.amprion.net/Dokumente/Strommarkt/Netzkunden/Netzanschlussregeln/Offshore/Annex-Simulation-Models-and-Studies.pdf,The OWF operator shall use DIgSILENT PowerFactory to develop a detailed RMS model.,This Amprion offshore grid connection annex explicitly requires PowerFactory for RMS model development and submission.,additional sources may exist (other offshore grid connection annexes)
Germany,TransnetBW GmbH — TransnetBW,https://www.transnetbw.de/,INTEGRAL 7,other,Uses INTEGRAL 7 for transmission-network modelling and N-1 loading assessment (power flow + contingency simulation) in a TransnetBW study.,HIGH,official_report,Abschlussbericht HydrogREenBoost (H2REB) — Studie zur Netzdienlichkeit des hybriden Netzboosters,,https://www.transnetbw.de/_Resources/Persistent/6/e/b/a/6ebaf88cc11e6aeebeb1409160fe20bd197add69/H2REB_Abschlussbericht-barrierefrei.pdf,Für die Netzmodellierung und Berechnung der Netzbelastung wurde die Software INTEGRAL 7 verwendet.,The TransnetBW report explicitly states INTEGRAL 7 was used for network modelling and grid loading calculations.,additional sources may exist (other TransnetBW studies / technical documents)
India,Central Electricity Authority (CEA),https://cea.nic.in/,ORDENA,planning_expansion,"Generation expansion planning and production-cost dispatch analysis for optimal generation capacity mix studies (e.g., 2029–30).",HIGH,official_report,Report on Optimal Generation Capacity Mix for 2029-30,,https://cdnbbsr.s3waas.gov.in/s3716e1b8c6cd17b771da77391355749f3/uploads/2023/01/2023010910.pdf,“...carried out using... Generation Expansion planning model namely ORDENA.”,The CEA report explicitly names ORDENA as the model used for its generation expansion planning study.,additional sources may exist (CEA planning reports citing ORDENA elsewhere)
India,CENTRAL ELECTRICITY REGULATORY COMMISSION,https://cercind.gov.in/,Security Constrained Economic Dispatch (SCED),production_cost_uc,Centralized cost-based dispatch optimization (pilot/formalized) implemented under CERC directions to reduce system cost via optimized generator schedules.,HIGH,official_report,Order in Petition No. 1/SM/2024,,https://cercind.gov.in/2024/orders/1-SM-2024.pdf,“SCED... implemented... as per the Commission’s directions to Grid Controller of India Limited (Grid-India)…”,The CERC order explicitly states SCED implementation under directions to Grid-India and describes its dispatch-optimization objective.,additional sources exist (other CERC orders on SCED)
India,"Ministry of Power, Government of India",https://powermin.gov.in/,PSS/E,other,Load-flow study for transmission & distribution investment planning scenarios in “24x7 Power for All” planning documents (example: West Bengal).,MEDIUM,official_report,24X7 Power For All in West Bengal,,https://powermin.gov.in/sites/default/files/uploads/joint_initiative_of_govt_of_india_and_West_Bengol.pdf,“A comprehensive load flow study was conducted using... (PSS/E)…”,The Ministry-hosted “24x7 Power for All” document explicitly states that PSS/E was used for the load-flow study described.,additional sources may exist (other state 24x7 PFA documents)
India,Central Transmission Utility of India,https://ctuil.in/,PSS/E,other,Network/system-study model exchange for grid-connection/transmission planning coordination (PSS/E model submission referenced in CTU/CTUIL coordination minutes).,HIGH,official_report,Minutes of 36th JCC Meeting of Northern Region (CTUIL),29/12/2025,https://ctuil.in/uploads/ists_joint_coordination_meetings/minutes/177087568503MoM_36th_JCC_NR%20%281%29.pdf,“PSS/E (submitted in Dec’24) & PSCAD models to be submitted…”,The CTUIL minutes explicitly reference PSS/E models in the context of coordination and required model submissions for studies.,additional sources may exist (other CTUIL minutes / planning coordination documents)
India,Central Transmission Utility of India,https://ctuil.in/,PSCAD,other,EMT/transient model exchange for grid-connection/transmission planning coordination (PSCAD model submission referenced in CTU/CTUIL coordination minutes).,HIGH,official_report,Minutes of 36th JCC Meeting of Northern Region (CTUIL),29/12/2025,https://ctuil.in/uploads/ists_joint_coordination_meetings/minutes/177087568503MoM_36th_JCC_NR%20%281%29.pdf,“PSS/E (submitted in Dec’24) & PSCAD models to be submitted…”,The same official CTUIL minutes explicitly reference PSCAD models being required/submitted for study coordination.,additional sources may exist (other CTUIL minutes / model submission requirements)
Indonesia,Kementerian Energi dan Sumber Daya Mineral — Ministry of Energy and Mineral Resources (ESDM),https://www.esdm.go.id/,LEAP,planning_expansion,Energy planning model referenced by ESDM for regional/long-term energy supply-demand analysis and projections.,HIGH,news_release,"LEAP, Perangkat Lunak Untuk Perencanaan Energi Daerah",30/8/2008,https://www.esdm.go.id/id/media-center/arsip-berita/leap-perangkat-lunak-untuk-perencanaan-energi-daerah,“LEAP (Long-Range Energy Alternatives Planning System)… model… untuk analisa supply-demand energi.”,ESDM’s official news archive explicitly describes LEAP as the software/model used for energy planning analysis.,Local/official-language + English searches performed; open-source candidates checked (only included when evidenced).
Indonesia,Kementerian Energi dan Sumber Daya Mineral — Ministry of Energy and Mineral Resources (ESDM),https://www.esdm.go.id/,Balmorel,planning_expansion,"Power-sector modelling used in ESDM’s energy outlook workflow, linked with LEAP inputs for electricity/fuel supply projections.",HIGH,official_report,Outlook Energi Indonesia 2019,,https://www.esdm.go.id/assets/media/content/content-outlook-energi-indonesia-2019-bahasa-indonesia.pdf,“LEAP akan menjadi input… pada model Balmorel.”,"The official ESDM outlook report explicitly states LEAP outputs feed into the Balmorel model, evidencing Balmorel use in the modelling framework.",additional sources may exist (other OEI editions); local/official-language + English searches performed; open-source candidates checked.
Indonesia,PT PLN (Persero) — PT PLN (Persero),https://web.pln.co.id/,PLEXOS,planning_expansion,Planning tool (capacity/planning studies) referenced for PLN HQ and regional planning teams to represent solar variability and battery storage in planning.,HIGH,official_report,STAKEHOLDER ENGAGEMENT FRAMEWORK (Published),1/11/2020,https://web.pln.co.id/statics/uploads/2020/11/%28Published%29SLE_SEF_Nov.pdf,“learn how to use… a state-of-the-art planning tool… i.e. PLEXOS.”,An official PLN-hosted document explicitly references PLEXOS as the planning tool PLN teams will learn/use for planning analyses involving solar variability and storage.,Local/official-language + English searches performed; open-source candidates checked but no PLN-hosted explicit open-source tool evidence found.
Italy,Terna S.p.A.,https://www.terna.it/,PLEXOS,production_cost_uc,Market/dispatch modelling to simulate hourly system behaviour and support scenario analysis / planning studies,HIGH,official_report,Terna — Documento di descrizione degli scenari,31/1/2018,https://download.terna.it/terna/0000/1016/83.pdf,“tools di modellizzazione del mercato elettrico (quali … Plexos …)”,Terna explicitly states Plexos is among the electricity-market modelling tools used in its scenario process.,additional sources exist
Italy,Terna S.p.A.,https://www.terna.it/,BID3,market_simulation,Electricity market modelling for scenario / adequacy / planning studies,HIGH,official_report,Terna — Piano di Sviluppo 2019,21/1/2019,https://download.terna.it/terna/0000/1188/36.pdf,"“BID3, PLEXOS, POWERSYM e Grare (di proprietà Terna)”",Terna explicitly lists BID3 among the tools used in its analyses.,additional sources exist
Italy,Terna S.p.A.,https://www.terna.it/,Antares,planning_expansion,Expansion/system-needs assessment using modelling to optimize system costs in interconnection/capacity studies,HIGH,official_report,Terna — Rapporto di identificazione delle capacità obiettivo 2025,5/3/2025,https://download.terna.it/terna/Terna_Rapporto_Identificazione_Capacita_Obiettivo_2025_8dd5a76773e5cf4.pdf,“un modello di espansione sviluppato nel tool Antares e Plexos”,Terna explicitly states it used Antares (with Plexos) for an expansion model in the study.,additional sources exist
Italy,Terna S.p.A.,https://www.terna.it/,POWERSYM,market_simulation,Electricity market/system modelling used in scenario definition / planning context,HIGH,official_report,Terna — Documento di descrizione degli scenari,31/1/2018,https://download.terna.it/terna/0000/1016/83.pdf,“tools … (quali … Powersym …)”,Terna explicitly lists Powersym among the electricity-market modelling tools used in the scenario process.,additional sources exist
Italy,Terna S.p.A.,https://www.terna.it/,Grare,other,Proprietary tool used by Terna in market/system modelling analyses referenced in planning documents,HIGH,official_report,Terna — Piano di Sviluppo 2019,21/1/2019,https://download.terna.it/terna/0000/1188/36.pdf,"“BID3, PLEXOS, POWERSYM e Grare (di proprietà Terna)”",Terna explicitly identifies Grare as a Terna-owned tool used in its analyses.,additional sources exist
Italy,Areti S.p.A.,https://www.areti.it/,DANTE,distribution_planning,"Platform supporting analysis, simulation, and planning of distribution-network interventions",HIGH,official_report,Areti — Piano di Sviluppo 2025,30/6/2025,https://www.areti.it/content/dam/acea-areti/documenti/area-istituzionale/attivita/piano-di-sviluppo/piano-di-sviluppo-2025/piano_di_sviluppo_2025_areti.pdf,"“migliorando le capacità di analisi, simulazione e di pianificazione interventi di rete”",Areti explicitly describes DANTE as enabling analysis/simulation and planning of grid interventions.,additional sources may exist
Japan,経済産業省（METI）,https://www.meti.go.jp/,PROMOD,production_cost_uc,同時市場（電源起動・出力配分）検討における費用便益分析のシミュレーション,HIGH,official_report,同時市場における費用便益分析の結果について（同時市場検討会 資料）,22/5/2024,https://www.meti.go.jp/shingikai/energy_environment/doji_shijo_kento/pdf/009_05_00.pdf,「使用実績のあるPROMODを用いて、便益分析を進めることとしたい。」,METIの公式審議会資料で、便益分析にPROMODを用いる方針を明記しているため。 (meti.go.jp),additional sources exist
Japan,電力広域的運営推進機関（OCCTO）,https://www.occto.or.jp/,OFGEN,production_cost_uc,マスタープラン／計画策定に関する便益分析（系統混雑を考慮したシミュレーション）,HIGH,official_report,同時市場における費用便益分析の結果について（同時市場検討会 資料）,22/5/2024,https://www.occto.or.jp/rijikai/2024_rijikai_458.html,「マスタープランや計画策定でも使用実績のあるPROMOD」,OCCTOのマスタープラン／計画策定プロセスでPROMODの使用実績があると公式資料が明記しているため。 (meti.go.jp),additional sources exist
Japan,電力広域的運営推進機関（OCCTO）,https://www.occto.or.jp/,PLEXOS,production_cost_uc,同時市場の起動停止・出力配分ロジック検証（SCUCベースモデル）,HIGH,official_report,同時市場における費用便益分析の結果について（同時市場検討会 資料）,22/5/2024,https://www.occto.or.jp/rijikai/2024_rijikai_458.html,「電中研が所有するSCUCツール…をベースモデルとして検証Aを進めている。」,OCCTOが関与する技術検証（検証A）で、CRIEPIのSCUCツールをベースモデルとして使用していると公式資料が示しているため。 (meti.go.jp),additional sources exist
Malaysia,Tenaga Nasional Berhad (TNB),https://www.tnb.com.my/,PLEXOS,production_cost_uc,Production cost / market simulation capability supported via “PLEXOS server” procurement for RSMD,HIGH,tender_procurement,TNB Tender Notice — “PLEXOS SERVER FOR RSMD” (Tender No: RFX 4000047302 T-22298),31/1/2024,https://www.tnb.com.my/assets/tender_price/T-22298_4000047302_TenderNotice.pdf,"“SUPPLY, INSTALL, TESTING, COMMISSIONING AND SUPPORT OF PLEXOS SERVER FOR RSMD”","An official TNB tender explicitly procures a PLEXOS server, evidencing institutional use of the PLEXOS tool environment.",Searched BM/EN; strongest retrievable official evidence is procurement; additional related procurement references may exist
Mexico,Centro Nacional de Control de Energía (CENACE),https://www.cenace.gob.mx/,PLEXOS,production_cost_uc,Arrendamiento de licencias y soporte para modelado/pronóstico de energía y simulaciones (planeación y operación),HIGH,tender_procurement,ARRENDAMIENTO Y SOPORTE TÉCNICO ESPECIALIZADO DE 9 LICENCIAS DEL SOFTWARE PLEXOS®,15/7/2025,https://www.cenace.gob.mx/Docs/Transparencia/ProcLicPub/2025/CORPORATIVO/E-2025-00062073/Archivo%202.pdf,"“El software PLEXOS®, es una herramienta de software para pronóstico y modelado de energía…”",Documento oficial de contratación de CENACE identifica explícitamente PLEXOS y su uso previsto para modelado/simulación.,additional sources exist (cenace.gob.mx)
Mexico,Secretaría de Energía (SENER),https://www.gob.mx/sener,PLEXOS,planning_expansion,Herramienta especializada para simulaciones/análisis del sistema eléctrico para dirigir planeación y elaborar PRODESEN (DGGTEE),HIGH,official_report,Suscripción anual licencia uso software simulación análisis sistemas (POTIC 2022),11/1/2022,https://transparencia.energia.gob.mx/doc/POTIC_2022/9-SuscripcionAnualLicenciaUsoSoftwareSimulacionAnalisisSistemas.pdf,“el licenciamiento… PLEXOS Integrated Energy Model… tuvo una vigencia hasta el 11 de febrero de 2020”,Documento oficial de SENER/energía indica explícitamente licenciamiento de PLEXOS IEM para simulaciones y planeación asociada a PRODESEN.,additional sources exist (transparencia.energia.gob.mx)
Mexico,Secretaría de Energía (SENER),https://www.gob.mx/sener,PLEXOS,planning_expansion,Realización de estudio/escenarios de planeación usando PLEXOS en documento oficial publicado por SENER,HIGH,official_report,Renewable Energies Outlook 2017-2031 (SENER),,https://www.gob.mx/cms/uploads/attachment/file/325631/Renewable_Energies_Outlook_2017-2031.pdf,“The study will be carried out using PLEXOS©”,Documento oficial hospedado en gob.mx declara explícitamente que el estudio se realizará usando PLEXOS.,additional sources may exist (Gobierno de México)
Nigeria,Nigerian Electricity Regulatory Commission (NERC),https://nerc.gov.ng/,MYTO (Multi-Year Tariff Order) tariff model,market_simulation,Tariff/revenue-requirement modelling for regulated electricity prices (MYTO methodology),HIGH,official_methodology,Multi-Year Tariff Order (MYTO) Order (July 2008–June 2013),1/7/2008,https://nerc.gov.ng/wp-content/uploads/2012/03/MYTO%20Order.pdf,"“At the centre… is a multi-year tariff model, which calculates electricity prices…”",NERC’s official MYTO Order explicitly states it uses a multi-year tariff model to calculate electricity prices. (nerc.gov.ng),additional sources exist
Nigeria,Transmission Company of Nigeria (TCN),https://tcn.org.ng/,PSS/E,planning_expansion,Transmission development planning studies (load-flow / N-1 / steady-state assessments),HIGH,official_report,Transmission System Development Plan and Capital Funding Requirements (Annex 1),26/2/2014,https://nerc.gov.ng/wp-content/uploads/2015/02/Annex%201%20-%20Transmission%20System%20Development%20Plan%20and%20Capital%20Funding%20Requirements%2026-02-14.pdf,“prepared a Transmission Development Plan using the PSSE planning software.”,A NERC-hosted official plan document states TCN’s development plan was prepared using PSSE planning software. (nerc.gov.ng),additional sources may exist
Nigeria,Transmission Company of Nigeria (TCN),https://tcn.org.ng/,NEPLAN,planning_expansion,Base network model development (model conversion workflow to PSSE),HIGH,official_report,Transmission System Development Plan and Capital Funding Requirements (Annex 1),26/2/2014,https://nerc.gov.ng/wp-content/uploads/2015/02/Annex%201%20-%20Transmission%20System%20Development%20Plan%20and%20Capital%20Funding%20Requirements%2026-02-14.pdf,“converting TCN’s existing NEPLAN model to PSSE.”,The document explicitly states TCN had an existing NEPLAN model that was converted to PSSE. (nerc.gov.ng),additional sources may exist
Pakistan,نیشنل الیکٹرک پاور ریگولیٹری اتھارٹی (NEPRA),https://nepra.org.pk/,PLEXOS,planning_expansion,"Indicative Generation Capacity Expansion Plan (IGCEP) generation expansion planning (least-cost, long-term)",HIGH,official_report,IGCEP 2024-34 Report,2024-05-,https://nepra.org.pk/Admission%20Notices/2024/05%20May/IGCEP%202024-34%20Report.pdf,“developed using state-of-the-art generation planning software - PLEXOS.”,NEPRA-published IGCEP documentation explicitly states the national plan was developed using PLEXOS.,Searched in Urdu and English; additional sources may exist
Pakistan,نیشنل ٹرانسمیشن اینڈ ڈسپیچ کمپنی لمیٹڈ (NTDC),https://www.ntdc.com.pk/,PLEXOS,planning_expansion,"IGCEP least-cost, long-term generation expansion planning for the NTDC system",HIGH,official_report,IGCEP 2024-34 Report,2024-05-,https://nepra.org.pk/Admission%20Notices/2024/05%20May/IGCEP%202024-34%20Report.pdf,“least cost… generation expansion plan… developed using… PLEXOS.”,The IGCEP report (for the NTDC system) explicitly states the plan was developed using PLEXOS.,Searched in اردو and English; additional sources may exist
Pakistan,نیشنل ٹرانسمیشن اینڈ ڈسپیچ کمپنی لمیٹڈ (NTDC),https://www.ntdc.com.pk/,PSS/E,other,Power-flow modelling/simulation for matched cases (peak/off-peak) used in NTDC T&T losses study work,HIGH,official_report,Decision of the Authority: Revised Transmission Investment Plan NTDCL FY 2022-23 to FY 2024-25,26/9/2024,https://nepra.org.pk/tariff/Tariff/Transmission/NTDC/2024/LAT-01%20REVISED%20TRANSMISSION%20INVESTMENT%20PLAN%20NTDCL%20FY%202022-23%20TO%20FY%202024-25%2026-09-2024%2015077.PDF,“power flow cases… by using PSS/E (preferably version 33 or advanced).”,The NEPRA decision document includes NTDC ToR specifying PSS/E for power-flow modelling/simulation cases.,Searched in Urdu and English; additional sources may exist
Poland,Ministerstwo Klimatu i Środowiska,https://www.gov.pl/web/climate,PLEXOS,planning_expansion,System-level electricity generation mix/cost analysis within the national nuclear power programme,MEDIUM,official_report,Program polskiej energetyki jądrowej,16/10/2020,https://isap.sejm.gov.pl/isap.nsf/download.xsp/WMP20200000946/O/M20200946.pdf,“w systemie PLEXOS od Energy Exemplar… wykorzystywanym… do analiz wystarczalności generacji…”,The official programme document states that analysis was performed in the PLEXOS system. (isap.sejm.gov.pl),additional sources may exist
South Africa,Department of Electricity and Energy (DEE),https://www.gov.za/source-department/department-electricity-and-energy,PLEXOS,planning_expansion,Integrated Resource Plan (IRP) modelling for least-cost capacity expansion / production simulation inputs,HIGH,official_report,Technical Review of South Africa Integrated Resource Plan (IRP),24/7/2025,https://www.dmre.gov.za/Portals/0/Energy%20Resources/IRP/IRP%202025/EPPEI-Report-Technical-Review-of-SA-IRP.pdf,“Phase 1 of the IRP process was undertaken using PLEXOS modelling tool.”,This official IRP technical review explicitly states the IRP process used PLEXOS as the modelling tool.,additional sources may exist
South Africa,National Transmission Company South Africa SOC Ltd (NTCSA),https://www.ntcsa.co.za/,DIgSILENT PowerFactory,other,RMS (root-mean-square) grid-code compliance modelling requirements for renewable/hybrid plant assessments,HIGH,other,Grid Code Management – Model Software Requirements,,https://www.ntcsa.co.za/grid-code-management-2/,“RMS – Digsilent PowerFactory (2023-2025)”,NTCSA explicitly publishes DIgSILENT PowerFactory as the required RMS modelling software.,"Dynamic simulation de-emphasized; included because it is explicit, retrievable NTCSA evidence"
